통계표,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율,8.8.1.1 주요국통화의 대원화 환율
2019-02-14,"1,121.70",165.73,"1,010.77","1,262.98",,,,,,,,,"1,441.44",845.86,"1,111.36",794.89,762.87,,,142.93,36.36,0.43,2.99,35.72,824.84,7.98,275.43,21.31,4.84,824.84,15.83,8.02,13.38,57.72,298.77,29.38,120.97,169.26,129.49,16.87,3.96,291.12,48.95,299.08,308.05,307.11,"1,580.97","3,691.87","2,976.83",305.38,212.02,79.84,63.79
2019-02-15,"1,125.00",166.06,"1,018.05","1,270.97",,,,,,,,,"1,439.66",846.15,"1,119.35",799.03,768.83,,,143.36,36.48,0.43,2.97,35.92,828.64,7.98,276.01,21.48,4.85,828.64,15.84,8.09,13.4,58.39,302.15,29.46,121.09,170.34,130.09,16.87,3.99,293.54,49.29,299.97,309,309.34,"1,585.51","3,702.73","2,984.01",306.28,213.11,79.56,64.14
2019-02-18,"1,127.70",166.18,"1,020.31","1,273.29",,,,,,,,,"1,454.79",850.93,"1,122.42",805.07,773.43,,,143.69,36.58,0.43,2.99,36.04,831.02,7.97,276.06,21.55,4.86,831.02,15.81,8.11,13.41,58.53,304.72,29.21,121.49,170.63,130.5,17.02,4,294,49.58,300.69,309.7,311.36,"1,589.77","3,713.82","2,990.85",307.02,213.2,80.04,64.22
2019-02-19,"1,124.70",166.17,"1,016.95","1,271.98",,,,,,,,,"1,453.79",849.86,"1,119.55",801.63,770.36,,,143.32,36.48,0.43,2.99,36,828.97,7.97,275.29,21.5,4.85,828.97,15.76,8.05,13.37,58.41,301.27,29.04,121.55,170.52,130.67,16.97,4,293.81,49.47,299.89,308.88,310.76,"1,585.20","3,700.89","2,983.37",306.19,212.08,79.67,64.12
2019-02-20,"1,127.50",166.32,"1,019.72","1,278.36",,,,,,,,,"1,472.74",853.2,"1,126.09",807.68,775.61,,,143.66,36.62,0.43,2.98,36.2,833.36,8,276.25,21.6,4.86,833.36,15.81,8.06,13.41,58.86,302.77,28.71,121.08,171.32,131.56,17.15,4.03,295.21,49.8,300.64,309.65,311.57,"1,589.26","3,712.91","2,990.56",306.96,213.52,80.28,64.28
2019-02-21,"1,122.60",166.84,"1,012.95","1,273.53",,,,,,,,,"1,464.60",852,"1,121.70",804.17,769.82,,,143.02,36.45,0.43,2.98,36.09,830.51,8,276.03,21.59,4.84,830.51,15.8,8.02,13.35,58.4,301.34,28.3,120.56,170.65,130.71,17.11,4.02,294.06,49.64,299.33,308.34,310.97,"1,582.46","3,697.14","2,977.80",305.62,210.8,80.09,63.93
2019-02-22,"1,124.40",167.65,"1,015.95","1,274.45",,,,,,,,,"1,465.66",849.69,"1,123.05",798.21,765.27,,,143.28,36.49,0.43,2.99,36.02,830.37,8,275.69,21.52,4.84,830.37,15.8,8.04,13.38,58.28,298.39,28.44,120.06,170.82,130.33,17.12,4.01,294.1,49.72,299.81,308.84,310.69,"1,585.34","3,703.07","2,982.57",306.11,211.08,80.22,64.1
2019-02-25,"1,125.70",167.3,"1,016.20","1,276.21",,,,,,,,,"1,470.56",857.15,"1,125.14",804.48,771.95,,,143.44,36.59,0.43,2.99,35.95,833.45,8.01,276.01,21.63,4.85,833.45,15.85,8.06,13.38,58.8,300.37,28.73,120.51,171.03,130.82,17.19,4.01,294.2,49.75,300.16,309.19,311.72,"1,587.73","3,707.35","2,985.86",306.47,211.4,80.44,64.28
2019-02-26,"1,120.80",167.69,"1,009.23","1,273.28",,,,,,,,,"1,470.32",849.83,"1,120.30",803.45,771.67,,,142.8,36.45,0.43,2.98,35.84,830.59,8,275.55,21.56,4.83,830.59,15.82,8.02,13.33,58.58,298.74,28.72,120.34,170.63,130.36,17.1,4.01,293.46,49.65,298.85,307.81,310.42,"1,580.26","3,691.21","2,973.02",305.13,211.2,80.97,63.88
2019-02-27,"1,118.30",167.11,"1,011.62","1,273.91",,,,,,,,,"1,482.59",849.42,"1,118.41",804.45,770.96,,,142.48,36.35,0.42,2.96,35.73,830,7.99,275.21,21.53,4.82,830,15.75,8.06,13.32,58.29,298.3,28.76,120.49,170.73,130.64,17.03,4.02,294.64,49.7,298.19,307.16,308.97,"1,576.18","3,682.98","2,966.39",304.47,210.83,80.82,63.87
2019-02-28,"1,117.80",167.14,"1,007.62","1,271.50",,,,,,,,,"1,488.52",850.13,"1,116.91",798.72,765.47,,,142.41,36.3,0.42,2.97,35.55,829.11,7.97,274.88,21.57,4.82,829.11,15.7,7.99,13.33,58.32,299.78,28.83,120.57,170.42,130.74,17,4.02,294.76,49.59,298.05,306.98,309.11,"1,576.03","3,681.33","2,965.07",304.32,210.3,80.29,63.76
2019-03-04,"1,119.90",167.49,"1,000.49","1,274.17",,,,,,,,,"1,481.74",843.46,"1,121.64",795.69,764.44,,,142.69,36.3,0.43,2.97,35.24,827.75,7.93,274.86,21.6,4.83,827.75,15.77,8.11,13.31,58.08,296.68,28.12,121.05,170.77,130.74,16.99,4.03,295.95,49.72,298.61,306.34,308.46,"1,578.32","3,687.64","2,970.48",304.9,208.64,78.91,63.92
2019-03-05,"1,125.00",168,"1,006.85","1,275.47",,,,,,,,,"1,482.58",845.29,"1,125.90",797.63,767.7,,,143.33,36.48,0.43,2.99,35.29,830.53,7.96,276.04,21.73,4.85,830.53,15.87,8.05,13.39,58.27,297.97,28.25,120.4,170.94,130,17.12,4.04,296.7,49.76,299.97,308.96,310.4,"1,586.18","3,706.02","2,984.16",306.28,209.28,79.13,64.21
2019-03-06,"1,125.80",167.89,"1,006.21","1,272.55",,,,,,,,,"1,481.27",842.82,"1,119.86",797.35,765.09,,,143.42,36.5,0.43,2.98,35.42,830.21,7.97,276.2,21.58,4.85,830.21,15.97,8.05,13.41,58.46,298.19,28.27,120.9,170.56,129.9,17.1,4.03,295.93,49.67,300.19,309.22,311.17,"1,587.31","3,701.46","2,986.29",306.49,208.95,79.45,64.48
2019-03-07,"1,127.80",167.93,"1,009.53","1,275.49",,,,,,,,,"1,485.43",839.04,"1,122.19",792.56,763.35,,,143.68,36.56,0.43,2.98,35.42,830.7,7.98,275.81,21.61,4.86,830.7,16.09,8.07,13.43,58.25,293.67,27.69,121.29,170.95,130.22,17.1,4.04,296.72,49.83,300.72,309.77,312.54,"1,590.13","3,709.99","2,991.59",307.06,207.58,79.04,64.56
2019-03-08,"1,128.30",167.91,"1,011.16","1,263.13",,,,,,,,,"1,476.15",838.85,"1,116.08",791.78,762.73,,,143.74,36.49,0.43,2.98,35.41,828.99,7.98,276,21.52,4.86,828.99,16.09,8.07,13.46,57.67,291.5,26.59,119.31,169.33,128.51,17.03,3.99,292.84,49.3,300.86,309.91,311.41,"1,590.84","3,711.76","2,992.76",307.18,206.49,77.76,64.77
2019-03-11,"1,134.00",168.35,"1,020.38","1,274.22",,,,,,,,,"1,472.78",845.2,"1,125.11",798.62,771.63,,,144.46,36.69,0.43,2.99,35.72,834.31,7.92,277.19,21.68,4.89,834.31,16.2,8.21,13.47,58.16,293.24,27.53,120.27,170.8,129.68,17.07,4.04,296.24,49.71,302.38,311.47,312.42,"1,596.85","3,728.79","3,007.96",308.74,208.81,78.57,65.02
2019-03-12,"1,134.50",168.47,"1,019.45","1,278.24",,,,,,,,,"1,503.16",847.05,"1,123.60",802.77,775.77,,,144.53,36.7,0.43,2.99,35.82,835.85,7.94,277.42,21.75,4.89,835.85,16.25,8.12,13.53,58.51,295.56,27.5,121.17,171.34,131.16,17.22,4.05,297.25,49.83,302.51,311.57,313.15,"1,602.40","3,732.28","3,009.12",308.86,208.64,79.22,65.09
2019-03-13,"1,128.70",167.89,"1,014.33","1,274.25",,,,,,,,,"1,475.94",845.34,"1,120.24",798.78,774.18,,,143.79,36.53,0.43,2.98,35.65,832.53,7.91,276.37,21.34,4.87,832.53,16.21,8.07,13.43,58.34,296.02,27.2,120.53,170.81,130.75,17.2,4.04,296.47,49.66,300.96,310.02,312.5,"1,591.96","3,712.83","2,993.90",307.28,206.78,78.63,64.85
2019-03-14,"1,131.50",168.58,"1,017.40","1,282.95",,,,,,,,,"1,505.86",851.33,"1,128.12",802.86,776.66,,,144.15,36.61,0.43,2.99,35.8,836.66,7.93,276.75,21.51,4.88,836.66,16.27,8.09,13.46,58.65,296.64,27.44,121.84,171.92,132.24,17.31,4.08,298.34,49.99,301.71,310.74,314.23,"1,595.91","3,722.41","3,001.33",308.05,207.14,78.43,64.95
2019-03-15,"1,132.70",168.62,"1,013.96","1,280.63",,,,,,,,,"1,500.83",849.74,"1,128.36",800.25,773.92,,,144.3,36.62,0.43,3,35.66,835.76,7.94,276.84,21.2,4.88,835.76,16.33,8.1,13.49,58.63,294.82,27.8,121.76,171.62,132.16,17.3,4.07,297.59,49.9,302.03,311.12,313.85,"1,597.60","3,727.83","3,004.59",308.37,207.08,77.97,65.1
2019-03-18,"1,136.10",169.05,"1,018.88","1,286.41",,,,,,,,,"1,510.22",851.43,"1,133.72",804.53,777.43,,,144.73,36.76,0.43,3,35.85,839.91,7.97,277.67,21.59,4.9,839.91,16.47,8.12,13.53,59.09,297.62,28.41,123,172.38,133.15,17.53,4.09,299.21,50.15,302.94,312.05,315.88,"1,603.19","3,739.02","3,013.69",309.31,208.47,78.71,65.48
2019-03-19,"1,133.70",168.82,"1,017.82","1,285.22",,,,,,,,,"1,501.98",849.79,"1,132.23",804.93,776.02,,,144.42,36.83,0.43,3.02,35.79,838.88,7.96,278,21.54,4.89,838.88,16.52,8.09,13.49,59.47,298.96,28.32,122.84,172.22,132.63,17.62,4.09,299.5,50.18,302.3,311.39,314.55,"1,599.01","3,733.21","3,008.04",308.65,207.29,78.52,65.49
2019-03-20,"1,130.90",168.3,"1,015.49","1,284.08",,,,,,,,,"1,500.65",848.67,"1,132.20",801.75,775.01,,,144.07,36.71,0.43,3,35.71,836.9,7.95,277.39,21.41,4.87,836.9,16.39,8.07,13.44,59.45,298.46,27.91,122.89,172.07,132.64,17.57,4.1,299.46,50.12,301.55,310.58,313.7,"1,595.06","3,725.83","3,000.53",307.88,206.5,77.94,65.41
2019-03-21,"1,130.40",168.24,"1,021.37","1,291.54",,,,,,,,,"1,492.01",850.4,"1,140.49",805.64,781.56,,,144.01,36.75,0.43,2.99,35.7,839.7,7.97,277.94,21.41,4.87,839.7,16.43,8.07,13.46,60.03,299.41,27.67,123.84,173.07,133.1,17.71,4.12,301.85,50.37,301.41,310.44,314.43,"1,594.36","3,723.32","2,998.97",307.75,208.3,79.44,65.44
2019-03-22,"1,125.80",168.48,"1,016.39","1,280.60",,,,,,,,,"1,477.05",842.35,"1,135.05",800.44,775.06,,,143.46,36.54,0.43,2.98,35.48,834.7,7.96,277.12,21.4,4.85,834.7,16.36,8.03,13.42,59.69,296.85,27.44,122.7,171.6,133.21,17.62,4.07,298.81,49.89,300.19,309.22,312.74,"1,587.87","3,711.47","2,986.92",306.49,205.9,79.22,65.24
2019-03-25,"1,129.80",168.5,"1,026.58","1,276.17",,,,,,,,,"1,492.80",841.5,"1,136.68",799.67,776.57,,,143.96,36.58,0.43,2.99,35.63,835.16,7.98,277.97,21.45,4.87,835.16,16.33,8.11,13.41,59.09,289.14,27.04,121.81,171.01,131.91,17.5,4.03,296.85,49.54,301.26,310.32,312.12,"1,592.05","3,723.92","2,996.82",307.6,197.1,77.82,65.31
2019-03-26,"1,134.90",168.89,"1,031.31","1,284.08",,,,,,,,,"1,499.26",846.75,"1,143.88",806.91,784.1,,,144.63,36.8,0.43,3,35.97,840.57,8,278.95,21.61,4.89,840.57,16.46,8.07,13.52,59.65,294.38,27,122.83,172.05,133.01,17.74,4.06,299.23,49.86,302.62,311.68,312.89,"1,600.71","3,740.24","3,010.34",308.97,203.51,79.29,65.6
2019-03-27,"1,132.10",168.59,"1,024.29","1,276.33",,,,,,,,,"1,495.67",846.18,"1,139.05",808.04,782.17,,,144.24,36.69,0.43,2.99,35.78,837.38,7.99,278.05,21.51,4.88,837.38,16.41,8.05,13.49,59.25,292.01,26.56,122.55,170.97,132.54,17.58,4.01,297.48,49.59,301.87,310.95,312.74,"1,596.76","3,729.66","3,003.08",308.21,210.84,78.59,65.42
2019-03-28,"1,134.70",168.78,"1,026.92","1,276.48",,,,,,,,,"1,493.27",846.13,"1,140.86",803.88,771.71,,,144.56,36.75,0.43,2.99,35.57,836.92,7.99,278.62,21.51,4.89,836.92,16.42,8.07,13.51,58.58,284.21,25.86,122.28,170.96,131.43,17.5,3.99,297.33,49.54,302.56,311.67,312.22,"1,600.42","3,736.50","3,009.81",308.92,210.78,77.68,65.51
2019-03-29,"1,137.80",168.74,"1,028.24","1,277.46",,,,,,,,,"1,485.45",846.92,"1,143.63",805.16,770.97,,,144.95,36.86,0.43,2.98,35.73,838.78,7.99,279.01,21.59,4.9,838.78,16.44,8.09,13.54,58.81,291.65,26.08,122.45,171.12,131.7,17.54,3.99,297.35,49.48,303.39,312.52,313.85,"1,604.80","3,742.52","3,018.04",309.76,204.17,77.97,65.65
2019-04-01,"1,136.10",168.69,"1,024.11","1,274.99",,,,,,,,,"1,479.37",851.04,"1,141.58",807.37,774.37,,,144.73,36.82,0.43,2.99,35.79,838.6,7.98,278.29,21.57,4.9,838.6,16.42,8.07,13.49,58.72,289.6,26.2,122.36,170.81,131.81,17.32,3.97,296.38,49.38,302.93,312.05,312.89,"1,604.55","3,736.19","3,013.45",309.34,203.13,79.28,65.56
2019-04-02,"1,132.70",168.74,"1,016.70","1,269.30",,,,,,,,,"1,481.06",850.85,"1,133.83",805.35,768.99,,,144.3,36.77,0.43,2.98,35.71,835.73,7.96,277.59,21.62,4.88,835.73,16.37,8.04,13.49,59.09,294.05,26.52,121.98,170.02,131.89,17.36,3.94,295.4,49.25,302.03,311.12,312.78,"1,597.60","3,721.82","3,004.27",308.37,205.64,79.85,65.34
2019-04-03,"1,135.80",168.97,"1,020.26","1,272.61",,,,,,,,,"1,491.19",851.3,"1,137.96",802.1,766.89,,,144.7,36.83,0.43,2.99,35.75,837.92,7.99,278.04,21.64,4.9,837.92,16.48,8.1,13.51,59.06,294.73,26.59,121.8,170.48,132.08,17.38,3.96,296.23,49.45,302.84,311.93,313.52,"1,601.97","3,728.95","3,012.49",309.22,202.09,79.9,65.58
2019-04-04,"1,134.90",168.96,"1,018.26","1,276.20",,,,,,,,,"1,495.46",850.65,"1,137.74",808.11,770.26,,,144.59,36.84,0.43,2.99,35.77,838.68,7.98,278.23,21.79,4.89,838.68,16.58,8.01,13.5,59.05,293.26,26.49,122.57,170.96,132.56,17.4,3.99,297.39,49.65,302.61,311.68,315.33,"1,600.71","3,728.32","3,010.19",308.97,201.79,80.29,65.48
2019-04-05,"1,135.50",169,"1,017.06","1,274.31",,,,,,,,,"1,484.44",849.45,"1,135.61",807.45,767.26,,,144.67,36.85,0.43,3,35.73,838.01,8.01,278.14,21.73,4.89,838.01,16.46,8.02,13.52,59.27,294.25,26.16,122.29,170.71,132.06,17.35,3.98,297,49.65,302.76,311.84,316.78,"1,601.55","3,728.57","3,011.86",309.14,202.8,80.39,65.6
2019-04-08,"1,136.40",169.27,"1,017.50","1,274.87",,,,,,,,,"1,481.58",849.74,"1,136.57",807.47,765.14,,,144.77,36.89,0.43,2.99,35.59,838.8,8.05,277.95,21.82,4.9,838.8,16.43,8.06,13.47,59.57,293.48,25.88,122.26,170.77,132,17.4,3.97,297.09,49.71,303,312.09,317.07,"1,606.11","3,730.67","3,010.09",309.39,201.5,80.58,65.56
2019-04-09,"1,141.40",169.76,"1,024.09","1,284.93",,,,,,,,,"1,490.95",857.45,"1,142.37",813.08,769.3,,,145.46,37.02,0.43,3,35.78,842.58,8.06,278.56,21.85,4.92,842.58,16.41,8.06,13.56,60.13,296.55,26.12,123.16,172.1,133.43,17.59,4,299.7,50.13,304.33,312.03,318.24,"1,609.87","3,749.06","3,027.51",310.74,200.56,80.82,65.9
2019-04-10,"1,142.80",170.06,"1,028.21","1,287.42",,,,,,,,,"1,491.98",857.41,"1,143.31",814.3,770.93,,,145.75,37.07,0.43,3.01,35.96,844.2,8.09,279.14,21.97,4.93,844.2,16.5,8.07,13.59,60.36,296.85,26.33,123.48,172.45,133.54,17.61,3.99,300.46,50.23,304.7,312.41,319.26,"1,611.85","3,753.78","3,031.22",311.12,201.08,81.14,65.94
2019-04-11,"1,141.20",169.89,"1,028.71","1,286.87",,,,,,,,,"1,493.77",856.92,"1,138.64",817.96,772.14,,,145.63,37.01,0.43,3.01,35.94,844.27,8.07,277.83,22.01,4.92,844.27,16.5,8.06,13.56,60.62,298.33,26.54,123.22,172.37,134.36,17.76,4,300.65,50.28,304.29,313.37,318.74,"1,609.59","3,747.17","3,026.98",310.69,200.8,82.04,65.89
2019-04-12,"1,139.20",169.61,"1,020.56","1,282.74",,,,,,,,,"1,487.45",851.87,"1,135.96",811.51,766.23,,,145.26,36.91,0.43,3.01,35.75,840.03,8.06,276.91,21.92,4.91,840.03,16.51,8.04,13.55,60.49,295.35,26.67,122.71,171.83,133.51,17.64,3.98,299.47,50.09,303.76,312.86,318.21,"1,606.77","3,740.60","3,021.67",310.14,198.68,81.28,65.81
2019-04-15,"1,140.50",169.48,"1,018.17","1,289.16",,,,,,,,,"1,491.77",855.3,"1,137.71",817.91,772,,,145.43,36.98,0.43,3.01,35.92,843.13,8.09,277.19,22.06,4.92,843.13,16.48,8.06,13.56,60.79,293.8,27.06,123.12,172.71,134.38,17.71,4.01,301.24,50.35,304.11,313.26,319.58,"1,609.74","3,744.87","3,025.12",310.5,197.25,81.69,65.81
2019-04-16,"1,133.90",168.96,"1,012.55","1,281.70",,,,,,,,,"1,485.35",847.87,"1,129.38",813.18,767.03,,,144.62,36.72,0.43,2.99,35.68,838.16,8.06,275.92,21.96,4.89,838.16,16.34,8,13.46,60.06,292.85,27.25,122.33,171.76,133.47,17.62,4,299.73,49.98,302.35,311.4,318.34,"1,599.29","3,729.08","3,007.61",308.7,195.36,80.68,65.37
2019-04-17,"1,135.70",169.26,"1,013.97","1,281.30",,,,,,,,,"1,481.29",849.82,"1,127.02",813.73,760.92,,,144.8,36.8,0.43,2.99,35.67,838.22,8.06,274.79,21.93,4.9,838.22,16.33,8.02,13.48,60.12,290.83,26.83,122.62,171.65,133.69,17.73,4.01,299.84,49.91,302.83,311.9,318.36,"1,601.83","3,735.00","3,012.39",309.19,196.18,80.93,65.61
2019-04-18,"1,136.10",169.49,"1,013.97","1,283.62",,,,,,,,,"1,481.30",851.07,"1,124.24",815.04,764.03,,,144.81,36.91,0.43,2.99,35.73,840.03,8.07,274.79,21.99,4.9,840.03,16.36,8.02,13.47,60.4,288.46,27.29,122.87,171.93,133.78,17.78,4.02,300.55,50.02,302.95,312.05,318.03,"1,602.40","3,735.94","3,013.45",309.3,197.5,81.28,65.84
2019-04-19,"1,136.20",169.84,"1,014.74","1,276.80",,,,,,,,,"1,475.98",849.21,"1,119.30",812.33,759.78,,,144.82,36.85,0.43,3,35.72,838.03,8.09,274.25,21.99,4.9,838.03,16.37,8.02,13.49,60.41,289.31,27.15,122.1,171,133.5,17.78,3.99,298.44,49.69,302.98,312.08,316.2,"1,602.54","3,736.64","3,013.71",309.33,195.51,80.78,66.05
2019-04-22,"1,137.10",169.62,"1,016.04","1,278.44",,,,,,,,,"1,477.72",849.76,"1,120.85",813.08,760.44,,,144.97,36.89,0.43,3,35.72,839.03,8.1,275.16,22,4.9,839.03,16.38,8.03,13.48,60.57,289.52,27.18,122.14,171.23,133.46,17.76,3.99,298.73,49.75,303.22,312.33,316.41,"1,603.81","3,739.23","3,015.78",309.57,195.17,80.9,66.35
2019-04-23,"1,140.80",170.04,"1,019.07","1,284.60",,,,,,,,,"1,480.93",855.11,"1,123.39",814.25,762.28,,,145.42,36.97,0.43,3.02,35.76,841.27,8.11,276.06,21.93,4.91,841.27,16.37,8.05,13.54,60.6,289.9,26.85,122.66,172.04,134.32,17.88,4.01,299.81,49.95,304.2,313.34,317.47,"1,609.03","3,752.01","3,025.91",310.58,195.77,80.55,66.44
2019-04-24,"1,141.10",169.84,"1,020.07","1,280.60",,,,,,,,,"1,476.18",849.79,"1,118.51",810.12,759.4,,,145.5,36.96,0.43,3.02,35.68,840.87,8.11,276.46,21.93,4.91,840.87,16.36,8.06,13.55,60.29,291.12,26.91,121.91,171.51,133.42,17.91,3.99,298.76,49.76,304.28,313.42,316.71,"1,609.45","3,751.03","3,026.71",310.66,195.45,79.97,66.48
2019-04-25,"1,146.90",170.65,"1,022.60","1,279.42",,,,,,,,,"1,480.07",849.87,"1,124.08",804.15,756.04,,,146.24,37.09,0.43,3.03,35.76,841.79,8.14,277.87,21.95,4.94,841.79,16.39,8.1,13.64,60.12,287.36,26.11,121.6,171.35,132.7,17.81,3.97,297.77,49.69,305.83,314.97,316.39,"1,617.63","3,769.10","3,042.09",312.24,194.89,79.45,66.76
2019-04-26,"1,158.70",171.88,"1,038.77","1,290.44",,,,,,,,,"1,494.67",859.6,"1,135.92",813.29,768.57,,,147.72,37.46,0.44,3.05,36.14,850.39,8.17,280.15,22.2,4.99,850.39,16.51,8.22,13.79,60.9,293.03,25.72,121.54,172.85,133.68,17.92,4.01,300.69,50.17,308.97,316.69,319.04,"1,634.27","3,806.25","3,073.07",315.46,194.77,80.3,67.44
2019-04-29,"1,159.70",172.2,"1,039.16","1,293.18",,,,,,,,,"1,498.51",861.56,"1,137.69",816.78,772.59,,,147.85,37.51,0.44,3.04,36.32,851.53,8.17,280.63,22.26,4.98,851.53,16.6,8.23,13.74,61.22,295.16,25.27,121.92,173.21,133.54,17.92,4.01,300.99,50.31,309.24,318.53,320.27,"1,639.04","3,809.41","3,076.13",315.74,195.05,80.64,67.52
2019-04-30,"1,158.20",171.93,"1,037.02","1,295.33",,,,,,,,,"1,497.73",860.96,"1,136.21",817.34,772.52,,,147.66,37.47,0.44,3.03,36.28,850.74,8.16,280.2,22.22,4.97,850.74,16.58,8.18,13.71,60.93,293.54,26.12,121.77,173.51,133.87,17.95,4.01,301.77,50.48,308.84,318.08,320.96,"1,633.57","3,804.49","3,072.31",315.32,194.65,80.84,67.44
2019-05-02,"1,163.80",172.49,"1,044.38","1,303.75",,,,,,,,,"1,519.40",865.99,"1,144.12",816.64,771.25,,,148.34,37.62,0.44,3.06,36.36,855.08,8.17,281.49,22.48,5,855.08,16.73,8.22,13.81,61.27,296.87,26.31,122.05,174.62,134.23,17.97,4.02,304.25,50.87,310.32,319.62,323.96,"1,641.47","3,824.77","3,087.17",316.84,195.12,80.51,67.78
2019-05-03,"1,163.90",172.75,"1,043.72","1,300.66",,,,,,,,,"1,516.97",864.13,"1,141.86",814.56,770.33,,,148.4,37.65,0.44,3.05,36.36,853.99,8.17,281.34,22.43,5,853.99,16.77,8.23,13.79,60.85,293.34,26,121.55,174.21,132.97,17.79,4.01,303.38,50.62,310.35,319.64,323.3,"1,641.61","3,827.11","3,087.43",316.87,195.15,80.08,67.77
2019-05-07,"1,169.40",173.48,"1,055.84","1,309.96",,,,,,,,,"1,531.50",869.47,"1,149.46",817.59,772.91,,,149.04,37.81,0.44,3.07,36.61,857.46,8.18,281.95,22.52,5.02,857.46,16.86,8.26,13.85,61.48,294.59,26.17,122.19,175.45,133.92,17.91,4.05,305.8,50.94,311.82,321.2,325.88,"1,649.37","3,844.94","3,102.02",318.36,192.01,80.77,68.19
2019-05-08,"1,169.80",172.15,"1,061.09","1,309.30",,,,,,,,,"1,528.87",868.61,"1,147.26",820.32,771.72,,,149.05,37.8,0.44,3.07,36.66,858.44,8.19,281.98,22.46,5.02,858.44,16.8,8.27,13.87,61.46,294.64,25.84,121.94,175.37,133.74,17.89,4.04,305.16,50.89,311.92,321.26,325.76,"1,649.93","3,844.49","3,103.08",318.47,190.06,81.02,68.21
2019-05-09,"1,169.90",172.32,"1,063.01","1,310.00",,,,,,,,,"1,522.33",868.59,"1,146.45",818.17,770.5,,,149.06,37.79,0.44,3.08,36.8,858.8,8.18,282.01,22.42,5.01,858.8,16.78,8.26,13.86,61.29,297.87,25.95,121.76,175.48,133.5,17.98,4.04,305.17,50.92,311.95,321.29,327.44,"1,650.07","3,846.08","3,103.35",318.5,189.81,81.37,68.2
2019-05-10,"1,175.80",172.19,"1,071.39","1,319.13",,,,,,,,,"1,529.54",872.81,"1,158.08",821.3,774.15,,,149.82,37.92,0.44,3.09,37,861.49,8.19,283.09,22.48,5.02,861.49,16.75,8.3,13.94,61.11,297.92,26,121.81,176.67,133.79,18.02,4.07,306.86,51.25,313.52,322.91,329.37,"1,658.39","3,864.08","3,119.00",320.11,190.89,81.94,68.67
2019-05-13,"1,178.10",172.36,"1,073.29","1,323.65",,,,,,,,,"1,532.35",877.18,"1,165.40",823.37,776.96,,,150.11,38.06,0.45,3.1,37.34,864.03,8.22,283.3,22.57,5.05,864.03,16.83,8.36,13.94,61.63,297.71,26.29,122.49,177.3,135.04,18.08,4.09,307.82,51.42,314.13,323.54,330.67,"1,665.04","3,872.91","3,124.93",320.75,196.77,83.08,68.87
2019-05-14,"1,183.10",171.84,"1,083.08","1,328.80",,,,,,,,,"1,532.53",877.44,"1,176.75",821.54,776.94,,,150.72,37.97,0.45,3.12,37.39,863.26,8.21,284.09,22.54,5.07,863.26,16.76,8.35,14.03,61.54,296.24,26.2,122.78,177.95,135.03,18.08,4.1,308.61,51.56,315.46,324.92,330.69,"1,668.69","3,890.88","3,138.36",322.09,194.81,82.56,69.27
