date,open,high,low,close,volume
2017-07-05,167651,168252,166449,167251,325112
2017-07-06,167050,167251,163845,165248,540369
2017-07-07,165248,168452,164647,167851,465047
2017-07-10,166049,167050,162844,162844,470909
2017-07-11,162844,167251,162844,166249,412951
2017-07-12,166449,168052,163245,164446,354029
2017-07-13,163645,167651,163645,166249,458732
2017-07-14,166049,168052,165448,168052,492571
2017-07-17,168252,169053,167251,168052,424124
2017-07-18,168452,169053,165448,166249,315986
2017-07-19,166449,168653,166249,167251,346670
2017-07-20,166850,168653,165648,167251,317713
2017-07-21,166650,168252,166650,168052,303540
2017-07-24,167651,167851,164446,166850,342292
2017-07-25,167050,167851,165047,167651,329456
2017-07-26,168252,168452,164046,165248,411098
2017-07-27,164246,166049,164046,165248,351867
2017-07-28,164446,165047,160040,160040,628432
2017-07-31,160040,161842,157436,160841,437768
2017-08-01,159038,160641,158237,159439,414019
2017-08-02,158638,160240,158437,159239,417828
2017-08-03,159038,159839,155233,155833,673640
2017-08-04,156034,157236,155433,155433,336261
2017-08-07,155633,160841,153830,159439,743500
2017-08-08,160440,163445,160240,162243,519466
2017-08-09,159839,161642,159639,159839,259476
2017-08-10,159038,160641,158437,159038,366960
2017-08-11,156434,159839,156234,159239,269306
2017-08-14,161642,161642,155433,156034,396390
2017-08-16,156234,158237,156034,157636,348562
2017-08-17,156434,157436,155433,155633,366490
2017-08-18,154832,157236,154832,157035,262711
2017-08-21,157035,157236,155233,156434,202117
2017-08-22,156434,156434,152829,153630,1147768
2017-08-23,154632,156434,154231,154832,484348
2017-08-24,154231,155032,153430,154431,584104
2017-08-25,154431,157636,154431,156234,412416
2017-08-28,156434,158838,156034,156835,544368
2017-08-29,156034,156234,153630,155833,527664
2017-08-30,155833,156835,154431,155032,564149
2017-08-31,154031,154231,150425,151227,989765
2017-09-01,151627,152428,149224,149424,731603
2017-09-04,145017,147020,145017,145418,701333
2017-09-05,145818,148623,145618,147421,487154
2017-09-06,146019,148022,145218,147621,400594
2017-09-07,147421,147621,146219,146219,340364
2017-09-08,145218,146820,145017,145618,353869
2017-09-11,145618,145618,143615,144216,377019
2017-09-12,144817,148623,143815,147221,414533
2017-09-13,146820,147221,145218,146019,370824
2017-09-14,146219,154031,146019,153230,1131248
2017-09-15,153029,153029,150626,152228,495567
2017-09-18,152629,157436,152428,156434,613560
2017-09-19,155233,155633,153029,154231,369316
2017-09-20,155032,157636,153630,156835,431188
2017-09-21,155633,156434,152228,152829,338278
2017-09-22,153230,155233,151227,153029,324319
2017-09-25,152228,152829,150025,151026,368767
2017-09-26,149424,151227,147421,150826,378647
2017-09-27,150225,150626,147020,147020,459581
2017-09-28,146219,149224,146219,146820,542991
2017-09-29,146820,150025,146820,149224,263600
2017-10-10,149624,154231,149023,151427,821563
2017-10-11,150425,151227,149424,150425,295701
2017-10-12,150425,154632,150425,153830,571777
2017-10-13,153830,153830,151827,152629,364668
2017-10-16,153029,153630,152028,152629,326041
2017-10-17,153630,154632,153029,153830,463774
2017-10-18,153830,163645,153830,163245,1096510
2017-10-19,163845,165448,161242,162443,894823
2017-10-20,163845,164847,158638,160440,514683
2017-10-23,161442,162644,158838,160040,323864
2017-10-24,159639,162243,159239,160440,276870
2017-10-25,160240,162443,159239,161041,465592
2017-10-26,169053,171056,166249,168252,1709141
2017-10-27,172258,176064,172258,176064,1181453
2017-10-30,177666,180070,174261,175463,527798
2017-10-31,175263,179469,173860,179068,654114
2017-11-01,174261,176064,170856,172258,1158652
2017-11-02,172258,174862,171257,171457,352242
2017-11-03,170656,173860,170255,172859,314398
2017-11-06,172258,175062,171257,172458,321593
2017-11-07,174662,174662,170255,172258,421508
2017-11-08,171056,171457,168653,170055,512686
2017-11-09,168853,169053,165047,165248,881687
2017-11-10,164647,166249,161642,163044,785067
2017-11-13,162443,165047,161642,164046,470160
2017-11-14,164647,164647,160641,161242,591273
2017-11-15,161242,161842,158638,161242,455232
2017-11-16,161242,161842,159839,160641,431902
2017-11-17,161642,164647,160641,161242,725287
2017-11-20,161842,162043,159439,160440,428822
2017-11-21,160641,162243,159839,161842,397813
2017-11-22,163044,163245,159839,160440,476445
2017-11-23,161242,161642,159038,160440,337589
2017-11-24,160240,162644,159639,162243,340764
2017-11-27,161842,162043,157836,159239,586051
2017-11-28,160040,162443,159439,161642,476146
2017-11-29,161242,163044,160641,162644,458402
2017-11-30,162443,162443,160240,160240,785482
2017-12-01,162043,166850,160440,166449,765277
2017-12-04,167651,169854,165848,168052,679116
2017-12-05,168252,168853,166449,166850,319541
2017-12-06,166850,167050,165047,165448,345477
2017-12-07,167050,169854,166049,167651,773839
2017-12-08,167251,167851,164446,166249,294024
2017-12-11,166249,167251,164246,165448,287569
2017-12-12,164647,169254,164647,165848,364548
2017-12-13,166049,168653,165047,168452,357464
2017-12-14,168653,170055,167251,167251,714413
2017-12-15,168452,169053,167651,169053,454998
2017-12-18,169053,173260,168252,172258,589601
2017-12-19,172859,174261,170255,171257,397738
2017-12-20,172058,173860,170055,170055,341193
2017-12-21,170055,170856,167050,168653,412866
2017-12-22,170255,173059,168853,172659,436635
2017-12-26,173260,176264,172058,175062,518248
2017-12-27,174662,175863,173460,175663,286350
2017-12-28,176264,176464,172258,174261,326360
2018-01-02,174461,177266,174261,177266,467234
2018-01-03,175463,177065,173059,174461,423315
2018-01-04,176064,179669,174862,178868,649586
2018-01-05,178868,183875,176264,181872,683030
2018-01-08,183275,190886,181872,190285,980220
2018-01-09,189083,190686,186880,189083,389551
2018-01-10,188883,195293,185678,185878,599586
2018-01-11,185878,187080,182073,183675,468567
2018-01-12,184276,186279,180470,182073,446400
2018-01-15,183675,185278,182473,184476,295557
2018-01-16,184076,185077,178868,180871,475796
2018-01-17,180871,181472,177866,177866,534329
2018-01-18,178868,181472,178868,180871,450864
2018-01-19,181272,181672,176264,176464,502072
2018-01-22,177065,178868,176665,178868,377149
2018-01-23,180070,180070,177065,178067,401772
2018-01-24,178067,178067,174261,175863,589720
2018-01-25,175863,184677,173660,182874,844683
2018-01-26,182874,186079,182273,185678,556011
2018-01-29,184877,189884,184677,186680,513809
2018-01-30,185878,190285,184877,186479,509825
2018-01-31,186880,189284,182273,182273,624983
2018-02-01,182273,186680,182073,184877,402431
2018-02-02,186279,186680,180671,181272,410140
2018-02-05,181272,181272,175663,176064,484109
2018-02-06,173059,175863,167851,170455,771538
2018-02-07,174261,174662,168252,168853,478098
2018-02-08,172258,172258,168653,168853,513979
2018-02-09,163645,166249,161442,161842,789166
2018-02-12,163645,163645,159839,160240,952287
2018-02-13,162844,164647,160841,161242,684099
2018-02-14,162644,164046,161842,162443,370265
2018-02-19,166249,166249,163245,164246,416061
2018-02-20,163845,163845,161041,161642,335502
2018-02-21,162243,167451,162043,166850,706780
2018-02-22,166449,167651,164046,165648,360669
2018-02-23,166449,168653,164246,166049,353789
2018-02-26,167050,167050,161842,162243,634688
2018-02-27,162243,162844,160440,161041,713819
2018-02-28,161842,163845,160641,160841,1948402
2018-03-02,159038,160240,154632,157436,1084898
2018-03-05,157436,158237,156034,156034,395017
2018-03-06,157436,160240,156635,159439,389476
2018-03-07,161041,161242,158437,159239,360010
2018-03-08,159839,160040,158437,160040,395497
2018-03-09,160841,163044,159639,160641,428382
2018-03-12,161842,163245,161041,161442,344538
2018-03-13,161442,165448,160841,164246,605207
2018-03-14,162844,163044,160440,162043,376076
2018-03-15,162844,165047,161642,164246,341013
2018-03-16,163445,163645,159639,160440,716915
2018-03-19,160440,160641,156635,157236,599171
2018-03-20,155633,159439,155032,159239,441293
