date,open,high,low,close,volume
2016-12-29,263000,263000,255500,261000,165816
2017-01-02,250000,255000,247500,253000,294947
2017-01-03,255000,264000,254000,262000,253540
2017-01-04,263000,269000,262000,268500,255597
2017-01-05,267000,268500,265000,267500,148537
2017-01-06,268000,268500,265000,266000,84524
2017-01-09,264500,267000,261500,264500,124839
2017-01-10,266500,270500,266000,267500,192011
2017-01-11,269000,281000,268000,280000,559100
2017-01-12,281000,287000,278500,285000,321519
2017-01-13,283000,287500,281000,283000,283435
2017-01-16,282000,283500,278000,278500,198568
2017-01-17,278000,284000,276000,278500,218884
2017-01-18,278000,278500,270000,271500,305022
2017-01-19,272000,274000,265500,270500,283405
2017-01-20,266000,267000,259000,261000,424426
2017-01-23,262000,265500,261000,265500,201425
2017-01-24,264000,264500,260500,263000,167168
2017-01-25,265000,266000,262000,263500,129004
2017-01-26,264500,274500,262500,270000,325835
2017-01-31,268500,270000,262000,262000,324050
2017-02-01,265000,273000,265000,272500,249084
2017-02-02,272500,279500,272500,274500,313439
2017-02-03,276000,277000,271500,275500,192256
2017-02-06,280000,282000,277000,277500,202277
2017-02-07,278500,278500,271500,273000,165682
2017-02-08,273000,274000,268000,270500,162108
2017-02-09,273000,275000,270500,272000,165764
2017-02-10,275000,281500,274000,281000,371551
2017-02-13,282000,282500,279000,279500,190988
2017-02-14,281500,282000,274500,277000,242951
2017-02-15,278500,283000,278000,282000,229913
2017-02-16,283500,283500,274500,275000,322009
2017-02-17,273000,278000,273000,277000,162813
2017-02-20,274000,278500,272000,278500,198672
2017-02-21,279000,280500,276500,278000,186061
2017-02-22,281000,283000,279000,279500,254219
2017-02-23,281500,284000,279000,284000,309140
2017-02-24,285000,285000,279500,281000,276766
2017-02-27,282000,283000,277000,282500,201230
2017-02-28,281500,284500,279500,283000,212901
2017-03-02,286000,288000,282000,287500,411436
2017-03-03,287500,287500,278000,282000,381929
2017-03-06,279000,280500,272000,275500,415679
2017-03-07,275500,279500,275000,277000,153695
2017-03-08,273500,277000,271000,273000,296457
2017-03-09,274000,274500,269000,269500,274928
2017-03-10,268500,269500,264000,266500,369397
2017-03-13,267000,270500,266500,269000,169880
2017-03-14,273000,277500,272000,274000,269479
2017-03-15,274000,276500,273000,276000,178579
2017-03-16,279000,282000,277500,278500,222324
2017-03-17,279500,279500,274500,279500,207185
2017-03-20,279500,283500,278500,283000,188329
2017-03-21,285000,296500,285000,295000,526655
2017-03-22,293000,295500,288000,290500,295302
2017-03-23,295000,299000,287000,287000,355854
2017-03-24,290000,290500,285500,286500,232272
2017-03-27,286000,289000,281000,282500,270917
2017-03-28,285000,294000,284500,292500,264727
2017-03-29,296000,300000,294000,299500,370123
2017-03-30,298500,300000,293500,297000,162306
2017-03-31,298000,300000,294000,294000,250456
2017-04-03,296000,297000,290500,293000,206581
2017-04-04,290500,292000,283000,283000,364169
2017-04-05,285000,287500,279000,284500,286902
2017-04-06,283000,288000,280500,284000,186872
2017-04-07,285500,287000,281500,284500,144246
2017-04-10,284000,284500,279500,281000,123570
2017-04-11,280500,284500,277000,280500,163171
2017-04-12,283000,283500,280000,282000,122532
2017-04-13,282500,282500,274000,274000,295018
2017-04-14,273000,276000,272500,274500,109972
2017-04-17,274500,282500,274500,278500,133099
2017-04-18,278500,280000,275000,276000,100626
2017-04-19,277000,278500,270500,270500,254640
2017-04-20,276000,280000,275500,279000,346429
2017-04-21,279000,281500,278500,280000,161029
2017-04-24,284000,286000,281000,281500,174272
2017-04-25,283500,283500,276500,279500,176156
2017-04-26,282500,284500,279500,279500,258794
2017-04-27,281000,283500,277500,281000,171628
2017-04-28,276500,279000,273500,274000,211136
2017-05-02,273500,278500,273500,275000,237946
2017-05-04,275000,279500,275000,276000,160423
2017-05-08,276000,280000,275000,280000,314036
2017-05-10,283500,285000,277500,278000,352589
2017-05-11,281000,286000,279000,285500,318325
2017-05-12,287000,289500,285000,287500,201706
2017-05-15,289500,289500,284500,285000,145932
2017-05-16,286500,289000,285000,285500,172833
2017-05-17,285500,287500,282500,284000,152412
2017-05-18,280500,282500,276000,280500,201563
2017-05-19,280000,284500,280000,282000,152117
2017-05-22,281500,288500,281000,287000,305798
2017-05-23,286500,292000,286000,289500,240357
2017-05-24,292000,292000,288000,290000,113315
2017-05-25,292000,296500,291000,296000,298294
2017-05-26,300000,306000,298000,304500,538283
2017-05-29,306500,311000,306000,309500,400894
2017-05-30,309500,309500,304000,306500,260369
2017-05-31,306000,308000,300500,302000,263470
2017-06-01,301000,305500,301000,303000,196318
2017-06-02,303500,304000,294000,294000,424935
2017-06-05,292000,294000,289000,291500,292409
2017-06-07,294000,294500,289000,290500,291299
2017-06-08,290000,292500,286000,289500,390922
2017-06-09,291000,297000,290000,292500,371924
2017-06-12,293500,296500,288500,289500,191591
2017-06-13,293500,297000,291000,292500,269402
2017-06-14,289500,290000,280000,281000,669742
2017-06-15,280000,280000,274500,276500,361523
2017-06-16,276500,283000,276500,278000,289532
2017-06-19,277500,279500,275500,279000,157850
2017-06-20,279500,280000,275000,275500,165525
2017-06-21,273500,281500,270000,280000,281125
2017-06-22,280500,287000,278500,287000,331461
2017-06-23,287500,288000,281500,283500,222360
2017-06-26,284000,285000,282500,282500,135404
2017-06-27,284000,287000,282500,283000,225758
2017-06-28,284000,285000,279500,280500,148004
2017-06-29,282500,283500,280000,282000,219741
2017-06-30,281000,291500,280500,291000,330131
2017-07-03,294000,297500,293000,296500,356166
2017-07-04,297500,298000,288500,290000,195257
2017-07-05,290000,293000,286000,291000,176809
2017-07-06,292000,293500,288500,290000,113140
2017-07-07,288500,293000,287000,289000,151570
2017-07-10,288500,292000,285500,291500,146503
2017-07-11,291000,299000,291000,299000,304052
2017-07-12,298000,300000,295000,299500,250718
