date,open,high,low,close,volume
2017-12-06,31162,32241,30129,30129,743716
2017-12-07,30317,31162,29378,30974,811330
2017-12-08,30927,31631,30598,31162,450814
2017-12-11,31162,32382,30223,32194,695838
2017-12-12,32382,32898,31772,31865,581890
2017-12-13,32382,32851,31772,32663,590868
2017-12-14,33133,33226,32476,32569,671704
2017-12-15,32757,34071,32476,33273,1045178
2017-12-18,33837,34728,33790,34071,956495
2017-12-19,34259,34353,32945,33180,564172
2017-12-20,33180,33555,32100,32288,684660
2017-12-21,32053,33039,31349,31349,534947
2017-12-22,31349,34400,31208,33790,1033254
2017-12-26,33977,35667,33696,35198,1190847
2017-12-27,35573,36465,35198,35855,710582
2017-12-28,36089,38107,35714,37356,1387711
2018-01-02,37919,38389,36793,38013,778854
2018-01-03,38248,38295,36230,37028,832827
2018-01-04,36699,37075,35573,35573,791269
2018-01-05,35667,38576,35667,38295,1337843
2018-01-08,39140,39327,36699,37497,877651
2018-01-09,37779,38858,37215,37779,771772
2018-01-10,37638,38107,36699,37450,469293
2018-01-11,37732,40594,37075,40548,1493902
2018-01-12,40829,44067,39891,44067,2159248
2018-01-15,44584,45991,42753,43833,1433762
2018-01-16,43739,46461,43269,44724,1464384
2018-01-17,44771,46883,44067,46132,1025789
2018-01-18,46930,48807,45616,45663,1293974
2018-01-19,46132,47305,45100,45851,772725
2018-01-22,45147,45944,44537,45522,588584
2018-01-23,46085,46930,45334,45616,531827
2018-01-24,45616,48619,45053,47869,1084770
2018-01-25,46930,48338,46367,46601,918633
2018-01-26,46695,47118,46179,46367,457253
2018-01-29,46695,48150,46367,47493,623986
2018-01-30,47212,48995,47118,48056,820620
2018-01-31,47399,47962,45804,46367,895740
2018-02-01,46226,47399,46226,46930,367103
2018-02-02,47399,47493,46273,46930,397489
2018-02-05,44677,45898,40876,40923,1438596
2018-02-06,38295,43363,37591,42425,2048432
2018-02-07,44208,44490,40923,40923,962100
2018-02-08,41674,44443,41298,43457,926127
2018-02-09,41768,43457,41627,42753,541628
2018-02-12,43269,43598,41392,41721,465007
2018-02-13,42378,42988,40407,40548,453139
2018-02-14,40688,42566,40360,42566,405149
2018-02-19,43129,44724,42706,44349,546565
2018-02-20,44771,44771,43176,43504,371166
2018-02-21,43457,44537,42847,44208,303416
2018-02-22,43880,44771,43551,44396,248846
2018-02-23,44959,45804,44630,45194,475134
2018-02-26,45522,45757,44067,44349,380489
2018-02-27,44771,45194,44114,44302,271706
2018-02-28,43833,43926,41815,41815,638675
2018-03-02,40970,42706,40923,42566,347551
2018-03-05,43035,43551,42002,42002,358537
2018-03-06,42988,45241,42894,45147,776171
2018-03-07,45287,47399,44443,45569,1019728
2018-03-08,46414,46648,45053,45616,490166
2018-03-09,45851,46601,42331,44490,868609
2018-03-12,45147,46226,44818,45944,471416
2018-03-13,45898,46132,44912,45428,285361
2018-03-14,45147,47305,44912,46836,771580
2018-03-15,47118,47681,46132,47024,455372
2018-03-16,47118,47118,45616,45898,392905
2018-03-19,45569,46132,44584,44630,390973
2018-03-20,45147,45898,44630,45053,443140
2018-03-21,45522,45522,44771,45053,380704
2018-03-22,45147,46742,45147,46320,621798
2018-03-23,44959,45944,43926,43926,581830
2018-03-26,44537,46508,44114,46508,493275
2018-03-27,47305,47305,45616,46132,402856
2018-03-28,44912,45757,44771,45334,381293
2018-03-29,45053,45053,43363,44349,679106
2018-03-30,44677,45522,44396,44537,284840
2018-04-02,45241,45710,44208,44584,329317
2018-04-03,43926,44255,42941,43269,539915
2018-04-04,43316,43504,38905,38952,2145118
2018-04-05,39656,40782,38670,39374,1259063
2018-04-06,39515,40313,38952,39703,707896
2018-04-09,39374,39515,38107,38717,740977
2018-04-10,38389,39750,38389,38436,718735
2018-04-11,39140,39797,38576,39468,536012
2018-04-12,39609,40125,38905,39703,631801
2018-04-13,40407,40594,39280,39703,509099
2018-04-16,39656,39844,39093,39280,301153
2018-04-17,39327,40829,39187,40125,527895
2018-04-18,37966,38483,35714,36465,2496620
2018-04-19,35948,36371,35291,35761,757666
2018-04-20,35761,36089,35151,35198,538596
2018-04-23,35291,36558,35291,35808,471436
2018-04-24,35855,36136,35198,35244,329451
2018-04-25,35151,35714,34353,35714,414381
2018-04-26,35573,36089,35526,35620,230758
2018-04-27,35526,35995,34775,34963,353962
2018-04-30,34916,35291,34353,34540,323942
2018-05-02,33837,34212,33226,33273,625417
2018-05-03,32804,34587,32804,33696,544301
2018-05-04,33461,34587,32945,32945,357444
2018-05-08,32757,34822,32757,33367,732280
2018-05-09,33790,37544,33790,36793,1628377
2018-05-10,36512,37779,36324,36793,620776
2018-05-11,37309,37919,35432,35948,716348
2018-05-14,36089,37309,35620,36324,520655
2018-05-15,36277,36887,35010,35010,467913
2018-05-16,34353,35338,34118,34540,290197
2018-05-17,34681,37356,34634,36887,786949
2018-05-18,37356,37450,36465,36840,317887
2018-05-21,37169,38389,36512,37215,561127
2018-05-23,38154,39187,37826,38060,701424
2018-05-24,37826,37826,36887,37403,320499
2018-05-25,37075,37966,36605,37779,303692
2018-05-28,37075,38295,36746,37966,346902
2018-05-29,38107,42331,37356,40407,1841401
2018-05-30,42706,43551,41486,42519,1973850
2018-05-31,42847,43269,41158,41955,787662
2018-06-01,42331,42331,40313,40782,702729
2018-06-04,41251,42706,41111,41627,718378
2018-06-05,41486,42002,40454,41674,411811
2018-06-07,42566,44114,42472,43551,1018782
2018-06-08,43363,44020,42894,43223,387024
2018-06-11,43551,43973,42706,43457,335923
2018-06-12,43598,44067,41955,42566,459982
2018-06-14,41955,43410,41298,41815,556627
2018-06-15,42190,42284,40735,41111,411461
2018-06-18,40641,40876,38389,38858,518491
2018-06-19,38576,39562,37826,37826,400084
2018-06-20,38107,40501,37919,40454,439291
2018-06-21,40454,40688,39233,39797,307536
2018-06-22,39187,40266,38811,39937,205036
2018-06-25,40829,42706,40641,41205,765058
2018-06-26,40454,41439,39515,41158,411379
2018-06-27,41251,41955,40594,41205,356380
2018-06-28,41064,41815,39937,40078,256909
2018-06-29,40829,41768,39891,41345,445500
2018-07-02,41627,42566,41064,41345,581758
2018-07-03,42237,43645,41815,43645,1000523
2018-07-04,43551,43739,42612,43598,498425
2018-07-05,43645,43833,42002,43551,606427
2018-07-06,43880,45381,43269,44865,908362
2018-07-09,44490,46273,44490,45710,670424
2018-07-10,46179,46461,44208,44302,554874
2018-07-11,43457,44865,43457,44255,368870
2018-07-12,44537,45757,44302,45428,476550
2018-07-13,45851,46085,43645,44114,716818
2018-07-16,43926,44771,42800,42941,585141
2018-07-17,43082,43739,42706,43082,249076
2018-07-18,43692,44067,42800,42988,299136
2018-07-19,43223,45194,42284,44771,780006
2018-07-20,45053,45241,42988,43598,471926
2018-07-23,43739,43739,41580,41580,359833
2018-07-24,40360,41392,38201,40641,1068554
2018-07-25,40923,43223,40923,42706,657014
2018-07-26,42800,43551,41627,43269,364500
2018-07-27,43269,46414,43082,46367,1136069
2018-07-30,46508,48619,46461,47869,1334263
2018-07-31,47493,48244,45898,46320,671971
2018-08-01,46695,48150,46226,48056,535842
2018-08-02,48432,49934,47681,48338,1081417
2018-08-03,49089,49277,47962,48713,320395
2018-08-06,48713,48713,46648,46648,573015
2018-08-07,46601,47399,46179,46883,457928
2018-08-08,47212,47681,46273,46320,228605
2018-08-09,46320,46601,45381,45616,329119
2018-08-10,45616,46038,43786,44865,567004
2018-08-13,44865,45475,44020,44677,389261
2018-08-14,44959,45944,44396,44912,250540
2018-08-16,44020,46789,43551,46789,472360
2018-08-17,46930,46930,45616,45616,349924
2018-08-20,45428,45851,44537,44584,296974
2018-08-21,44912,47681,44912,47399,668351
2018-08-22,47305,47869,46648,46695,263894
2018-08-23,47024,47869,46601,47869,300695
2018-08-24,48526,48807,47118,48526,442982
2018-08-27,48526,53406,48244,53406,1462180
2018-08-28,54157,54720,53031,53876,988566
2018-08-29,54063,55284,53219,55190,544538
2018-08-30,54908,55753,53876,55471,535280
2018-08-31,54908,57536,54533,56785,765064
2018-09-03,56973,56973,54533,55377,580892
2018-09-04,55377,59507,55002,59132,939494
2018-09-05,58663,59320,57818,58756,450602
2018-09-06,59507,59507,57724,58475,408843
2018-09-07,58569,62886,57912,62886,1019784
2018-09-10,62980,65702,61666,63731,871053
2018-09-11,63356,64294,61384,62886,646760
2018-09-12,62698,64200,59883,61291,1100507
2018-09-13,60915,64670,60727,63731,1112473
2018-09-14,64670,64763,62323,63731,520824
2018-09-17,63825,64200,62417,62886,385811
2018-09-18,62041,66828,62041,64857,869607
2018-09-19,65420,66922,65045,66453,526886
2018-09-20,66171,67298,64106,64951,645823
2018-09-21,65702,67204,64013,67204,486345
2018-09-27,67391,71897,67204,71709,747489
2018-09-28,72366,76308,65890,68518,1637395
